DATE,VISITOR,VISITOR_PTS,HOME,HOME_PTS
1999-12-15,Houston Rockets,77,San Antonio Spurs,83
1999-12-15,Sacramento Kings,109,Vancouver Grizzlies,106
1999-12-16,Los Angeles Lakers,95,Atlanta Hawks,88
1999-12-16,New York Knicks,100,Dallas Mavericks,93
1999-12-16,Sacramento Kings,106,Denver Nuggets,116
1999-12-16,Detroit Pistons,116,Golden State Warriors,108
1999-12-16,Milwaukee Bucks,96,Miami Heat,95
1999-12-16,Portland Trail Blazers,107,Seattle SuperSonics,81
1999-12-16,New Jersey Nets,104,Washington Wizards,108
1999-12-17,Cleveland Cavaliers,86,Charlotte Hornets,99
1999-12-17,Utah Jazz,74,Indiana Pacers,89
1999-12-17,Golden State Warriors,91,Los Angeles Clippers,92
1999-12-17,Los Angeles Lakers,97,Minnesota Timberwolves,88
1999-12-17,Toronto Raptors,98,Orlando Magic,112
1999-12-17,Chicago Bulls,74,Philadelphia 76ers,77
1999-12-17,Phoenix Suns,110,Portland Trail Blazers,102
1999-12-17,Boston Celtics,94,San Antonio Spurs,103
1999-12-18,Utah Jazz,106,Atlanta Hawks,96
1999-12-18,Orlando Magic,83,Chicago Bulls,74
1999-12-18,New Jersey Nets,98,Cleveland Cavaliers,74
1999-12-18,Minnesota Timberwolves,108,Dallas Mavericks,104
1999-12-18,San Antonio Spurs,84,Denver Nuggets,86
1999-12-18,Philadelphia 76ers,91,Detroit Pistons,104
1999-12-18,Boston Celtics,94,Houston Rockets,100
1999-12-18,Charlotte Hornets,106,Miami Heat,89
1999-12-18,Indiana Pacers,95,Milwaukee Bucks,109
1999-12-18,Washington Wizards,95,New York Knicks,83
1999-12-18,Sacramento Kings,103,Phoenix Suns,119
1999-12-18,Vancouver Grizzlies,89,Seattle SuperSonics,112
1999-12-19,Atlanta Hawks,88,New Jersey Nets,96
1999-12-19,Los Angeles Lakers,94,Toronto Raptors,88
1999-12-19,Los Angeles Clippers,84,Vancouver Grizzlies,85
1999-12-20,Los Angeles Lakers,99,Boston Celtics,90
1999-12-20,Seattle SuperSonics,93,Chicago Bulls,84
1999-12-20,Minnesota Timberwolves,100,Cleveland Cavaliers,94
1999-12-20,Miami Heat,92,Dallas Mavericks,89
1999-12-20,Portland Trail Blazers,88,Denver Nuggets,97
1999-12-20,Sacramento Kings,99,Golden State Warriors,111
1999-12-20,Charlotte Hornets,109,New York Knicks,112
1999-12-20,Utah Jazz,102,Orlando Magic,104
1999-12-20,Detroit Pistons,121,Philadelphia 76ers,122
1999-12-20,Milwaukee Bucks,101,Phoenix Suns,108
1999-12-21,Washington Wizards,97,Detroit Pistons,83
1999-12-21,Portland Trail Blazers,89,Houston Rockets,79
1999-12-21,Seattle SuperSonics,103,Indiana Pacers,113
1999-12-21,Milwaukee Bucks,95,Sacramento Kings,108
1999-12-21,Phoenix Suns,90,San Antonio Spurs,91
1999-12-21,New Jersey Nets,87,Toronto Raptors,116
1999-12-22,Atlanta Hawks,81,Boston Celtics,98
1999-12-22,Minnesota Timberwolves,106,Chicago Bulls,86
